model,case,activities
BPIC20R,37,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,38,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,39,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,40,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,41,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_pre_approver', 'request_for_payment_rejected_by_employee', 'request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', '<EOS>']"
BPIC20R,42,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_pre_approver', 'request_for_payment_rejected_by_employee', 'request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', '<EOS>']"
BPIC20R,43,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,44,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,45,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,46,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,47,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,48,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,49,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,50,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,51,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,52,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,53,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,54,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,55,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,56,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,57,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,58,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,59,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_pre_approver', 'request_for_payment_rejected_by_employee', 'request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,60,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,61,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,62,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,63,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,64,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_supervisor', 'request_for_payment_rejected_by_employee', '<EOS>']"
BPIC20R,65,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,66,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,67,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,68,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,69,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,70,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,71,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,72,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,73,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,74,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,75,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,76,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,77,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_pre_approver', 'request_for_payment_rejected_by_employee', '<EOS>']"
BPIC20R,78,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', '<EOS>']"
BPIC20R,79,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,80,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,81,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,82,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,83,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', '<EOS>']"
BPIC20R,84,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,85,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,86,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,87,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,88,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_supervisor', 'request_for_payment_rejected_by_employee', '<EOS>']"
BPIC20R,89,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,90,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,91,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,92,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,93,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,94,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,95,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,96,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,97,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,98,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_pre_approver', 'request_for_payment_rejected_by_employee', 'request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,99,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,100,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,101,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,102,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,103,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,104,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,105,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,106,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,107,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,108,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,109,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,110,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,111,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,112,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,113,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,114,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,115,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,116,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_supervisor', 'request_for_payment_final_approved_by_director', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,117,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,118,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_supervisor', 'request_for_payment_final_approved_by_director', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,119,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,120,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', '<EOS>']"
BPIC20R,121,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_pre_approver', 'request_for_payment_rejected_by_employee', 'request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', '<EOS>']"
BPIC20R,122,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_pre_approver', 'request_for_payment_rejected_by_employee', 'request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_pre_approver', 'request_for_payment_rejected_by_employee', '<EOS>']"
BPIC20R,123,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_pre_approver', 'request_for_payment_rejected_by_employee', 'request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', '<EOS>']"
BPIC20R,124,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,125,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,126,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,127,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,128,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_pre_approver', 'request_for_payment_rejected_by_employee', 'request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,129,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,130,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,131,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', 'request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,132,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,133,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,134,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,135,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,136,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,137,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,138,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,139,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,140,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,141,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,142,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,143,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_supervisor', 'request_for_payment_rejected_by_employee', '<EOS>']"
BPIC20R,144,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,145,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,146,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,147,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,148,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,149,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,150,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,151,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,152,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,153,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_pre_approver', 'request_for_payment_rejected_by_employee', '<EOS>']"
BPIC20R,154,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,155,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_supervisor', 'request_for_payment_final_approved_by_director', '<EOS>']"
BPIC20R,156,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,157,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_pre_approver', 'request_for_payment_rejected_by_employee', 'request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,158,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,159,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', '<EOS>']"
BPIC20R,160,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,161,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,162,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,163,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
